Game,Score,Steps,Epsilon
1,0,52,159
2,0,67,158
3,0,44,157
4,0,53,156
5,0,28,155
6,0,63,154
7,0,46,153
8,0,66,152
9,0,63,151
10,0,116,150
11,0,52,149
12,1,146,148
13,0,85,147
14,0,95,146
15,0,38,145
16,0,45,144
17,0,47,143
18,0,48,142
19,0,77,141
20,1,83,140
21,0,119,139
22,0,44,138
23,0,154,137
24,0,33,136
25,0,82,135
26,0,45,134
27,0,36,133
28,0,63,132
29,0,55,131
30,0,96,130
31,0,126,129
32,0,21,128
33,0,32,127
34,1,127,126
35,0,147,125
36,0,161,124
37,0,46,123
38,0,23,122
39,0,130,121
40,0,70,120
41,0,78,119
42,0,37,118
43,1,215,117
44,0,30,116
45,0,297,115
46,0,37,114
47,0,72,113
48,0,65,112
49,0,121,111
50,0,47,110
51,0,37,109
52,1,126,108
53,0,73,107
54,0,109,106
55,0,176,105
56,0,38,104
57,0,49,103
58,0,34,102
59,0,78,101
60,0,105,100
61,1,62,99
62,0,32,98
63,0,43,97
64,0,178,96
65,0,61,95
66,0,23,94
67,0,43,93
68,0,81,92
69,0,34,91
70,0,65,90
71,0,86,89
72,0,139,88
73,0,51,87
74,0,105,86
75,0,69,85
76,0,198,84
77,0,29,83
78,0,181,82
79,0,53,81
80,0,31,80
81,0,47,79
82,0,53,78
83,0,66,77
84,0,45,76
85,0,30,75
86,0,80,74
87,0,30,73
88,1,80,72
89,0,23,71
90,1,100,70
91,1,167,69
92,0,108,68
93,1,50,67
94,0,41,66
95,0,90,65
96,0,19,64
97,0,41,63
98,1,76,62
99,0,58,61
100,0,53,60
101,0,18,59
102,0,50,58
103,0,72,57
104,0,117,56
105,0,31,55
106,0,102,54
107,0,169,53
108,0,27,52
109,1,176,51
110,0,65,50
111,0,57,49
112,0,289,48
113,0,55,47
114,0,46,46
115,2,155,45
116,0,55,44
117,3,148,43
118,2,85,42
119,1,37,41
120,0,18,40
121,1,50,39
122,2,174,38
123,2,111,37
124,0,16,36
125,1,71,35
126,3,124,34
127,2,91,33
128,0,49,32
129,2,136,31
130,1,109,30
131,1,139,29
132,1,131,28
133,1,165,27
134,0,61,26
135,0,73,25
136,3,283,24
137,0,26,23
138,0,60,22
139,3,220,21
140,0,28,20
141,0,50,19
142,0,27,18
143,0,20,17
144,0,62,16
145,5,191,15
146,2,191,14
147,1,94,13
148,3,157,12
149,1,31,11
150,0,29,10
151,6,361,9
152,1,69,8
153,3,172,7
154,5,272,6
155,0,24,5
156,5,256,4
157,4,211,3
158,18,791,2
159,5,648,1
160,2,601,0
161,82,4217,0
162,66,3456,0
163,44,2542,0
164,42,4601,0
165,53,5701,0
166,58,1640,0
167,60,1792,0
168,80,3234,0
169,75,2476,0
170,36,784,0
171,39,866,0
172,27,640,0
173,61,1597,0
174,57,1668,0
175,54,1446,0
176,53,1552,0
177,40,1068,0
178,65,2138,0
179,28,720,0
180,29,880,0
181,77,2867,0
182,34,949,0
183,29,661,0
184,29,927,0
185,35,1036,0
186,55,1818,0
187,51,1321,0
188,75,2754,0
189,62,1829,0
190,42,1249,0
191,72,2524,0
192,56,1524,0
193,56,1611,0
194,41,1122,0
195,11,286,0
196,43,1402,0
197,50,1338,0
198,62,1762,0
199,54,1606,0
200,52,1494,0
201,30,843,0
202,54,1172,0
203,25,715,0
204,53,1266,0
205,63,1951,0
206,44,1195,0
207,47,998,0
208,53,1294,0
209,85,2829,0
210,65,1804,0
211,57,1441,0
212,49,1474,0
213,46,1210,0
214,48,1154,0
215,49,1265,0
216,39,888,0
217,57,1537,0
218,69,1660,0
219,31,726,0
220,58,1423,0
221,69,1718,0
222,72,1918,0
223,49,1164,0
224,72,1732,0
225,75,1901,0
226,52,1288,0
227,82,2225,0
228,73,1678,0
229,45,829,0
230,79,2054,0
231,53,1393,0
232,74,2054,0
233,52,1085,0
234,38,892,0
235,52,1112,0
236,71,1638,0
237,46,883,0
238,55,1229,0
239,47,993,0
240,57,1281,0
241,87,2489,0
242,45,1042,0
243,53,1218,0
244,65,1449,0
245,51,1102,0
246,106,3141,0
247,62,1775,0
248,86,2131,0
249,69,1467,0
250,55,1144,0
251,85,2383,0
252,74,1923,0
253,67,1812,0
254,62,1602,0
255,62,1648,0
256,59,1271,0
257,76,2260,0
258,62,1463,0
259,63,1764,0
260,59,1556,0
261,42,880,0
262,41,847,0
263,45,897,0
264,51,1170,0
265,79,2241,0
266,79,1975,0
267,40,848,0
268,86,2254,0
269,52,1074,0
270,54,1230,0
271,59,1397,0
272,79,2271,0
273,51,1113,0
274,52,1091,0
275,66,1745,0
276,92,2496,0
277,48,1351,0
278,65,1602,0
279,52,1306,0
280,87,2418,0
281,28,533,0
282,26,721,0
283,46,985,0
284,64,1544,0
285,86,2354,0
286,58,1337,0
287,42,1098,0
288,94,2577,0
289,37,777,0
290,58,1370,0
291,77,2152,0
292,45,1055,0
293,42,1014,0
294,52,1204,0
295,46,958,0
296,67,1470,0
297,35,735,0
298,75,1567,0
299,103,3140,0
300,78,2186,0
301,105,3032,0
302,72,1841,0
303,48,1052,0
304,41,861,0
305,57,1410,0
306,81,2668,0
