Game,Score,Steps,Epsilon
1,0,25,159
2,0,154,158
3,0,51,157
4,1,67,156
5,0,54,155
6,0,55,154
7,0,46,153
8,0,141,152
9,1,27,151
10,0,64,150
11,0,177,149
12,0,30,148
13,1,96,147
14,0,55,146
15,0,92,145
16,0,75,144
17,0,105,143
18,0,90,142
19,0,73,141
20,0,69,140
21,0,106,139
22,0,178,138
23,0,98,137
24,0,43,136
25,0,144,135
26,0,108,134
27,0,148,133
28,1,38,132
29,1,90,131
30,1,28,130
31,0,47,129
32,0,57,128
33,0,110,127
34,1,56,126
35,0,101,125
36,0,202,124
37,0,91,123
38,0,157,122
39,1,50,121
40,0,19,120
41,0,92,119
42,1,115,118
43,0,59,117
44,1,205,116
45,0,12,115
46,0,53,114
47,0,79,113
48,2,93,112
49,1,37,111
50,1,35,110
51,0,202,109
52,1,107,108
53,0,133,107
54,0,17,106
55,0,42,105
56,0,63,104
57,1,82,103
58,1,66,102
59,4,273,101
60,1,41,100
61,0,27,99
62,1,64,98
63,0,86,97
64,0,26,96
65,1,56,95
66,1,58,94
67,2,123,93
68,1,21,92
69,2,122,91
70,1,50,90
71,3,127,89
72,2,80,88
73,0,28,87
74,3,182,86
75,2,121,85
76,2,45,84
77,4,167,83
78,3,155,82
79,2,126,81
80,1,61,80
81,3,100,79
82,1,28,78
83,1,52,77
84,3,89,76
85,1,30,75
86,1,56,74
87,1,19,73
88,1,24,72
89,3,67,71
90,4,122,70
91,3,132,69
92,4,65,68
93,3,81,67
94,1,31,66
95,2,55,65
96,4,93,64
97,3,104,63
98,2,41,62
99,1,48,61
100,1,60,60
101,1,12,59
102,6,191,58
103,3,68,57
104,3,72,56
105,2,46,55
106,3,72,54
107,4,168,53
108,1,14,52
109,4,93,51
110,1,33,50
111,7,181,49
112,1,31,48
113,1,45,47
114,2,72,46
115,1,21,45
116,0,18,44
117,5,159,43
118,7,114,42
119,5,114,41
120,2,29,40
121,5,111,39
122,1,30,38
123,5,99,37
124,1,44,36
125,1,60,35
126,19,534,34
127,1,51,33
128,1,10,32
129,13,264,31
130,7,206,30
131,8,203,29
132,14,323,28
133,4,115,27
134,13,255,26
135,5,154,25
136,8,199,24
137,6,222,23
138,20,554,22
139,11,252,21
140,2,28,20
141,4,90,19
142,8,181,18
143,19,523,17
144,2,73,16
145,7,190,15
146,4,90,14
147,24,557,13
148,20,394,12
149,36,784,11
150,45,1147,10
151,35,666,9
152,18,366,8
153,27,563,7
154,36,831,6
155,22,407,5
156,17,352,4
157,33,688,3
158,3,63,2
159,31,652,1
160,35,714,0
161,32,760,0
162,75,2001,0
163,52,1242,0
164,45,1105,0
165,53,1124,0
166,66,1998,0
167,56,1642,0
168,55,1488,0
169,63,1439,0
170,56,1421,0
171,45,941,0
172,92,2590,0
173,85,2345,0
174,51,1210,0
175,62,1449,0
176,19,399,0
177,57,1291,0
178,47,1039,0
179,41,1062,0
180,38,770,0
181,48,957,0
182,75,2076,0
183,47,1101,0
184,32,651,0
185,54,1192,0
186,42,1131,0
187,70,1461,0
188,42,918,0
189,80,2287,0
190,48,1205,0
191,53,1294,0
192,62,1405,0
193,36,866,0
194,65,1523,0
195,70,1737,0
196,49,961,0
197,78,2121,0
198,55,1570,0
199,91,3669,0
200,57,1490,0
201,60,1469,0
202,91,2762,0
203,80,2018,0
204,76,1996,0
205,44,977,0
206,65,1432,0
207,43,912,0
208,50,1166,0
209,65,1567,0
210,56,1225,0
211,38,962,0
212,56,1124,0
213,51,1227,0
214,72,2032,0
215,54,1566,0
216,54,1351,0
217,47,984,0
218,60,1501,0
219,63,1586,0
220,68,1702,0
221,55,1165,0
222,52,1224,0
223,47,1123,0
224,75,2049,0
225,81,2171,0
226,37,802,0
227,44,991,0
228,45,1189,0
229,29,621,0
230,38,771,0
231,64,1429,0
232,73,2016,0
233,75,1778,0
234,79,2228,0
235,93,2563,0
236,29,697,0
237,37,847,0
238,58,1341,0
239,33,610,0
240,63,1458,0
241,60,1590,0
242,46,1242,0
243,42,865,0
244,35,686,0
245,38,1227,0
246,84,2425,0
247,62,1593,0
248,70,1820,0
249,56,1175,0
250,91,2869,0
251,45,1085,0
252,58,1230,0
253,58,1516,0
254,87,2343,0
255,36,651,0
256,63,1616,0
257,56,1383,0
258,97,2429,0
259,45,1052,0
260,83,2523,0
261,54,1231,0
262,52,1557,0
263,58,1398,0
264,47,920,0
265,61,1573,0
266,64,1677,0
267,54,1301,0
268,45,936,0
269,48,1065,0
270,38,886,0
271,52,1146,0
272,38,787,0
273,84,2288,0
274,51,2093,0
275,68,1854,0
276,68,1688,0
277,43,890,0
278,54,1168,0
279,65,1732,0
280,58,1364,0
281,52,1263,0
282,43,912,0
283,86,1798,0
284,87,2092,0
285,95,2375,0
286,61,1441,0
287,65,1652,0
288,49,1127,0
289,78,2044,0
290,72,2015,0
291,49,1055,0
292,36,816,0
293,55,1424,0
294,68,1700,0
295,45,1082,0
296,57,1221,0
297,89,2390,0
298,26,457,0
299,67,1579,0
300,52,1247,0
301,44,1074,0
302,47,1033,0
303,79,1869,0
304,51,998,0
305,63,1577,0
306,76,1819,0
307,53,1240,0
308,62,1564,0
309,90,2661,0
310,89,3673,0
311,88,2283,0
312,44,868,0
313,61,1360,0
314,59,1421,0
315,79,2254,0
316,49,1130,0
317,46,999,0
318,76,1978,0
319,29,532,0
320,84,2149,0
321,87,2619,0
322,79,2121,0
323,90,2775,0
324,61,1691,0
325,74,2004,0
326,63,1613,0
327,34,652,0
328,71,1902,0
329,68,1601,0
330,66,1660,0
331,76,2025,0
332,82,1959,0
333,83,2135,0
334,43,1017,0
335,76,1739,0
336,52,1056,0
337,46,997,0
338,93,2678,0
339,89,2205,0
340,89,2694,0
341,61,1678,0
342,62,1698,0
343,46,913,0
344,79,1984,0
345,64,1585,0
346,74,1735,0
347,81,2251,0
348,58,1222,0
349,81,2108,0
350,38,1011,0
351,64,1590,0
352,62,1709,0
353,65,1568,0
354,63,2092,0
355,84,2616,0
356,44,983,0
357,62,1750,0
358,78,2044,0
359,70,1574,0
360,55,1281,0
361,39,844,0
362,85,2164,0
363,77,2117,0
364,36,837,0
365,42,946,0
366,39,868,0
367,97,2566,0
368,44,960,0
369,83,2340,0
370,84,2761,0
371,46,927,0
372,113,3882,0
373,58,1277,0
374,57,1401,0
375,91,2983,0
376,43,1109,0
377,63,1645,0
378,108,3251,0
379,74,2384,0
380,88,2640,0
381,57,1237,0
382,53,1364,0
383,71,1866,0
384,87,2381,0
385,67,1345,0
386,89,2487,0
387,82,2246,0
388,67,1471,0
389,44,1012,0
390,81,2297,0
391,79,1856,0
392,47,1045,0
393,49,1199,0
394,76,2035,0
395,64,1534,0
396,62,1439,0
397,69,1501,0
398,36,796,0
399,64,1694,0
400,14,293,0
401,57,1317,0
402,56,1300,0
403,48,1102,0
404,44,962,0
405,53,1200,0
406,52,1218,0
407,49,1064,0
408,56,1339,0
409,71,1623,0
410,34,878,0
411,54,1181,0
412,65,1409,0
413,75,1880,0
414,72,1905,0
415,74,1912,0
416,38,865,0
417,37,794,0
418,38,893,0
419,62,1636,0
420,76,2056,0
421,78,2144,0
422,81,2044,0
423,90,2569,0
424,62,1687,0
425,68,1512,0
426,39,839,0
427,46,1108,0
428,56,1449,0
429,77,1799,0
430,41,939,0
431,48,986,0
432,56,1422,0
433,77,2001,0
434,44,975,0
435,56,1315,0
436,45,1026,0
437,67,1710,0
438,79,1872,0
439,56,1270,0
440,45,931,0
441,44,1120,0
442,44,1021,0
443,71,1981,0
444,59,1913,0
445,61,1563,0
446,53,1356,0
447,51,1186,0
448,50,1207,0
449,69,1511,0
450,90,2827,0
451,28,688,0
452,65,1475,0
453,44,924,0
454,56,1500,0
455,59,1430,0
456,63,1849,0
457,52,1418,0
458,68,1883,0
459,72,2077,0
460,61,1638,0
461,57,1467,0
462,18,330,0
463,74,1692,0
464,58,1330,0
465,116,3771,0
466,34,832,0
467,60,1315,0
468,73,2073,0
469,34,806,0
470,54,1233,0
471,38,1034,0
472,42,957,0
473,42,813,0
474,100,2457,0
475,77,1902,0
476,62,1596,0
477,63,1606,0
478,55,1379,0
479,53,1120,0
480,92,2822,0
481,78,1940,0
482,62,1375,0
483,50,1129,0
484,102,3053,0
485,60,1417,0
486,43,1162,0
487,62,1608,0
488,89,2316,0
489,56,1353,0
490,85,1988,0
491,55,1449,0
492,65,1700,0
493,61,1481,0
494,83,2300,0
495,55,1377,0
496,51,1205,0
497,57,1711,0
498,41,908,0
499,39,850,0
500,45,1280,0
501,52,1383,0
502,43,901,0
503,98,2787,0
504,37,1144,0
505,66,1490,0
506,71,1964,0
507,78,2082,0
508,98,3267,0
509,61,1518,0
510,77,1955,0
511,34,820,0
512,58,1544,0
513,73,2084,0
514,68,2556,0
515,73,2086,0
516,78,1805,0
517,73,1876,0
518,112,3895,0
519,87,3133,0
520,51,1276,0
521,18,516,0
522,55,1473,0
523,51,1217,0
524,44,1141,0
525,67,2349,0
526,56,1493,0
527,60,1598,0
528,64,1779,0
529,95,2933,0
530,82,2390,0
531,71,1990,0
532,97,2537,0
533,28,685,0
534,91,2390,0
535,70,1927,0
536,65,1688,0
537,48,1239,0
538,79,2632,0
539,72,2128,0
540,46,1139,0
541,106,3435,0
542,68,1804,0
543,55,1160,0
544,73,1832,0
545,72,2111,0
546,55,1398,0
547,39,748,0
548,108,3049,0
549,106,3262,0
550,60,1659,0
551,38,789,0
552,86,2468,0
553,52,1085,0
554,39,824,0
555,58,1161,0
556,62,1561,0
557,17,323,0
558,49,1089,0
559,74,1734,0
560,71,2001,0
561,44,1022,0
562,70,1638,0
563,53,1297,0
564,59,1366,0
565,50,1255,0
566,91,2461,0
567,30,667,0
568,40,876,0
569,41,887,0
570,88,2039,0
571,38,827,0
572,91,2321,0
573,99,2722,0
574,74,1777,0
575,40,800,0
576,68,1588,0
577,72,1427,0
578,87,2508,0
579,35,723,0
580,33,663,0
581,48,1004,0
582,71,1859,0
583,108,3043,0
584,83,2410,0
585,63,1327,0
586,66,1525,0
587,115,3647,0
588,70,1759,0
589,55,1419,0
590,92,2277,0
591,71,2460,0
592,37,782,0
593,83,2240,0
594,45,1002,0
595,77,2060,0
596,76,1759,0
597,104,3204,0
598,95,2583,0
599,69,1791,0
600,47,1025,0
601,70,1748,0
602,60,1343,0
603,58,1329,0
604,92,2542,0
605,59,1460,0
606,90,2717,0
607,92,2242,0
608,50,1067,0
609,38,829,0
610,66,1699,0
611,56,1425,0
612,51,1166,0
613,74,1987,0
614,48,1117,0
615,55,1284,0
616,80,2027,0
617,45,1014,0
618,61,1336,0
619,90,2371,0
620,79,1860,0
621,61,1525,0
622,55,1305,0
623,53,1193,0
624,53,1069,0
625,54,1258,0
626,33,651,0
627,60,1345,0
628,50,1152,0
629,66,1656,0
630,76,1923,0
631,34,919,0
632,60,1555,0
633,80,1997,0
634,29,633,0
635,92,2401,0
636,55,1069,0
637,98,2809,0
638,51,1182,0
639,92,2795,0
640,47,1189,0
641,64,1742,0
642,59,1494,0
643,83,2361,0
644,67,1643,0
645,70,1609,0
646,78,1905,0
647,43,814,0
648,68,1855,0
649,67,1576,0
650,107,3193,0
651,32,615,0
652,83,2098,0
653,83,1989,0
654,52,1155,0
655,59,1522,0
656,79,1990,0
657,85,2228,0
658,49,1291,0
659,50,1039,0
660,49,1035,0
661,68,1727,0
662,84,2274,0
663,75,1823,0
664,94,2886,0
665,26,482,0
666,77,1822,0
667,76,1990,0
668,53,1298,0
669,71,1770,0
670,85,2330,0
671,84,2564,0
672,39,821,0
673,65,1567,0
674,45,1000,0
675,61,1302,0
676,67,1590,0
677,52,1042,0
678,84,2129,0
679,35,726,0
680,92,2818,0
681,57,1582,0
682,52,1159,0
683,92,2876,0
684,42,860,0
685,68,1643,0
686,36,739,0
687,46,1060,0
688,59,1456,0
689,42,992,0
690,70,1788,0
691,98,3669,0
692,39,687,0
693,66,1842,0
694,55,1280,0
695,32,696,0
696,53,1089,0
697,79,2313,0
698,44,1080,0
699,30,713,0
700,62,1388,0
701,33,663,0
702,78,1649,0
703,71,1904,0
704,23,479,0
705,29,523,0
706,50,1088,0
707,24,477,0
708,40,998,0
709,75,2078,0
710,41,772,0
711,51,1175,0
712,38,756,0
713,64,1366,0
714,33,763,0
715,70,1560,0
716,81,2001,0
717,75,2492,0
718,91,2480,0
719,58,1361,0
720,54,1425,0
721,59,1364,0
722,91,2594,0
723,53,1354,0
724,49,1091,0
725,101,2981,0
726,51,1296,0
727,94,2940,0
728,55,1199,0
729,45,1007,0
730,58,1423,0
731,72,1729,0
732,63,1433,0
733,97,2982,0
734,56,1403,0
735,46,902,0
736,55,1410,0
737,56,1260,0
738,65,1664,0
739,69,1838,0
740,72,1713,0
741,57,1326,0
742,77,2108,0
743,52,1215,0
744,46,1015,0
745,47,1121,0
746,48,1116,0
747,62,1543,0
748,36,817,0
749,37,796,0
750,51,1232,0
751,67,1573,0
752,30,564,0
753,87,2047,0
754,70,1845,0
755,58,1395,0
756,54,1284,0
757,50,1128,0
758,27,505,0
759,42,856,0
760,56,1335,0
761,72,2105,0
762,67,1690,0
763,49,1245,0
764,85,2563,0
765,37,845,0
766,30,684,0
767,41,884,0
768,65,1559,0
769,59,1620,0
770,84,2298,0
771,78,1872,0
772,45,916,0
773,46,888,0
774,75,1986,0
775,28,650,0
776,47,947,0
777,46,922,0
778,64,1660,0
779,41,758,0
780,70,1659,0
781,85,2121,0
782,40,927,0
783,66,1521,0
784,70,1536,0
785,55,1250,0
786,49,1143,0
787,48,1040,0
788,58,1278,0
789,60,1342,0
790,85,2644,0
791,66,1926,0
792,68,2072,0
793,79,2165,0
794,72,1685,0
795,84,1965,0
796,53,1349,0
797,74,2004,0
798,73,1827,0
799,57,1413,0
800,53,1187,0
801,54,1255,0
802,93,2439,0
